WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,TimeoutInMinutes,Region,LastConnectionTime,DaysSinceLastLogin,Status
ws-hq0xln8td,krowe3,wsb-6m4xgd4tz,10.135.79.84,VDICHWY-9GGVS2E,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-17 17:26:52.492000-04:00,10,Disabled
ws-1k3dvt6bt,bbutler6,wsb-6m4xgd4tz,10.135.69.1,VDICHWY-NUNVJ8H,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 10:10:55.160000-04:00,0,Enabled
ws-gdwnwvr4z,rd,wsb-83j5dqqlr,10.113.44.96,EC2AMAZ-1P05A4S,AVAILABLE,AUTO_STOP,2880,us-east-1,2023-04-05 13:39:14.141000-04:00,22,Enabled
ws-8b8y6cfbr,edimarco,wsb-6m4xgd4tz,10.135.69.19,VDICHWY-QICMFB9,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 03:50:59.718000-04:00,0,Enabled
ws-9c9plyb81,nminhas,wsb-1dtmwzl2v,10.113.36.102,EC2AMAZ-L79NQD4,STOPPED,AUTO_STOP,2880,us-east-1,2023-04-26 06:29:12.242000-04:00,2,Enabled
ws-gc0j1w2k1,gscotland,wsb-6m4xgd4tz,10.135.68.112,VDICHWY-GUL07AU,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-12 15:32:13.965000-04:00,46,Enabled
ws-058fkdnbp,vprice,wsb-6m4xgd4tz,10.135.77.198,VDICHWY-7U7CTC9,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 10:09:59.931000-04:00,0,Enabled
ws-3hsbdm6h5,brenn,wsb-1dtmwzl2v,10.113.40.211,EC2AMAZ-82JU9H8,AVAILABLE,AUTO_STOP,2880,us-east-1,2023-04-27 12:59:00.212000-04:00,0,Enabled
ws-69p4r9cz0,jbermudez3,wsb-6m4xgd4tz,10.135.79.7,VDICHWY-4KQ3SMS,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-26 22:28:23.111000-04:00,1,Enabled
ws-6nv5hb3vn,mheavlow,wsb-6m4xgd4tz,10.135.74.24,VDICHWY-1UFML2A,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 10:08:36.470000-04:00,0,Enabled
ws-1mc7hdxyq,asolis2,wsb-6m4xgd4tz,10.135.74.117,VDICHWY-F655HH4,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-27 14:48:34.657000-04:00,0,Enabled
ws-d822t3fx9,ballen9,wsb-6m4xgd4tz,10.135.74.206,VDICHWY-9IEFIN3,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 10:10:23.789000-04:00,0,Enabled
ws-1911s1g7c,agardewine,wsb-6m4xgd4tz,10.135.74.190,VDICHWY-KO3R059,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-04 19:31:03.580000-04:00,23,Enabled
ws-97s5tmh41,snelson3,wsb-7v01w2s1n,10.113.39.30,EC2AMAZ-K8JOF6H,AVAILABLE,AUTO_STOP,2880,us-east-1,2023-01-22 00:40:54.231000-05:00,96,Enabled
ws-014plrpvd,kcolemalag,wsb-6m4xgd4tz,10.135.72.92,VDICHWY-BQ6M0JV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-04-28 01:45:31.001000-04:00,0,Enabled
ws-jfvq55bx2,bbrettnacher,wsb-1dtmwzl2v,10.113.47.150,EC2AMAZ-ODAEIRG,AVAILABLE,AUTO_STOP,2880,us-east-1,2023-04-28 08:44:58.845000-04:00,0,Enabled
