WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-8wttg6jkj,aalvarez1,wsb-7v01w2s1n,10.113.45.18,EC2AMAZ-7R1B37C,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 18:07:37.031000-05:00,0
ws-crj8bj1hl,AMeteyer,wsb-6m4xgd4tz,10.135.77.54,VDICHWY-M0QP7JD,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-17 09:44:21.590000-05:00,9
ws-hq0xln8td,krowe3,wsb-6m4xgd4tz,10.135.79.84,VDICHWY-9GGVS2E,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 17:27:17.728000-05:00,0
ws-8b8y6cfbr,edimarco,wsb-6m4xgd4tz,10.135.69.19,VDICHWY-QICMFB9,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-27 02:20:43.504000-05:00,0
ws-7m73ck7vg,zjohnson5,wsb-6m4xgd4tz,10.135.64.162,VDICHWY-I9CU1ES,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 00:20:54.169000-05:00,1
ws-9c9plyb81,nminhas,wsb-1dtmwzl2v,10.113.36.102,EC2AMAZ-L79NQD4,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-21 20:18:51.079000-05:00,5
ws-c353fwk5w,vhodges,wsb-6m4xgd4tz,10.135.76.67,VDICHWY-RBG0JB3,AVAILABLE,ALWAYS_ON,us-east-1,No login registered, 
ws-gc0j1w2k1,gscotland,wsb-6m4xgd4tz,10.135.68.112,VDICHWY-GUL07AU,AVAILABLE,ALWAYS_ON,us-east-1,No login registered, 
ws-48qs1767p,icheatum,wsb-6m4xgd4tz,10.135.73.134,VDICHWY-LT5SG5T,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-27 08:53:49.479000-05:00,0
ws-058fkdnbp,vprice,wsb-6m4xgd4tz,10.135.77.198,VDICHWY-7U7CTC9,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-27 08:51:56.750000-05:00,0
ws-3hsbdm6h5,brenn,wsb-1dtmwzl2v,10.113.40.211,EC2AMAZ-82JU9H8,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-13 19:29:35.287000-05:00,13
ws-5jy9y4w10,ncurry,wsb-6m4xgd4tz,10.135.73.96,VDICHWY-94OQ1ES,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-27 08:50:56.994000-05:00,0
ws-69p4r9cz0,jbermudez3,wsb-6m4xgd4tz,10.135.79.7,VDICHWY-4KQ3SMS,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 22:30:10.733000-05:00,0
ws-fjyy9m7wr,kmestry,wsb-83j5dqqlr,10.113.37.71,EC2AMAZ-1ISHPE6,AVAILABLE,ALWAYS_ON,us-east-1,2022-07-13 11:16:56.617000-04:00,228
ws-6nv5hb3vn,mheavlow,wsb-6m4xgd4tz,10.135.74.24,VDICHWY-1UFML2A,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-23 01:46:34.538000-05:00,4
ws-1mc7hdxyq,asolis2,wsb-6m4xgd4tz,10.135.74.117,VDICHWY-F655HH4,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 16:48:24.744000-05:00,0
ws-d822t3fx9,ballen9,wsb-6m4xgd4tz,10.135.64.41,VDICHWY-Q2K3HNI,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-25 20:38:12.909000-05:00,1
ws-4xxtfl80j,dkupper,wsb-1dtmwzl2v,10.113.36.14,EC2AMAZ-SFVBNA8,STOPPED,AUTO_STOP,us-east-1,2022-05-10 06:33:27.273000-04:00,293
ws-1911s1g7c,agardewine,wsb-6m4xgd4tz,10.135.74.190,VDICHWY-KO3R059,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-24 10:20:36.442000-05:00,2
ws-97s5tmh41,snelson3,wsb-7v01w2s1n,10.113.39.30,EC2AMAZ-K8JOF6H,AVAILABLE,ALWAYS_ON,us-east-1,2023-01-22 00:40:54.231000-05:00,36
ws-jfvq55bx2,bbrettnacher,wsb-1dtmwzl2v,10.113.47.150,EC2AMAZ-ODAEIRG,STOPPED,AUTO_STOP,us-east-1,2023-02-22 21:27:47.493000-05:00,4
ws-gdy0xx1pg,evales,wsb-6m4xgd4tz,10.135.73.135,VDICHWY-KT444PN,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-26 22:42:55.069000-05:00,0
ws-cpfrksrdc,ATejada,wsb-7v01w2s1n,10.113.42.113,EC2AMAZ-MK4BKFJ,AVAILABLE,ALWAYS_ON,us-east-1,2022-12-23 07:00:32.008000-05:00,66
ws-vfpcr3w1k,abalbuena,wsb-6m4xgd4tz,10.135.69.255,VDICHWY-35PQTUP,AVAILABLE,ALWAYS_ON,us-east-1,2023-02-25 12:28:17.568000-05:00,1
ws-fbyqc9txd,iribot,wsb-6m4xgd4tz,10.135.71.211,VDICHWY-8CJLK7A,AVAILABLE,ALWAYS_ON,us-east-1,No login registered, 
