WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-8wttg6jkj,aalvarez1,wsb-7v01w2s1n,10.113.45.18,EC2AMAZ-7R1B37C,AVAILABLE,AUTO_STOP,60,us-east-1,2023-03-30 11:07:28.825000-04:00,0
ws-hq0xln8td,krowe3,wsb-6m4xgd4tz,10.135.79.84,VDICHWY-9GGVS2E,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 17:27:21.751000-04:00,0
ws-1k3dvt6bt,bbutler6,wsb-6m4xgd4tz,10.135.69.1,VDICHWY-NUNVJ8H,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:09:12.121000-04:00,0
ws-gdwnwvr4z,rd,wsb-83j5dqqlr,10.113.44.96,EC2AMAZ-1P05A4S,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 12:59:05.912000-04:00,0
ws-8b8y6cfbr,edimarco,wsb-6m4xgd4tz,10.135.69.19,VDICHWY-QICMFB9,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 03:56:33.430000-04:00,0
ws-7m73ck7vg,zjohnson5,wsb-6m4xgd4tz,10.135.64.162,VDICHWY-I9CU1ES,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 01:51:45.182000-04:00,0
ws-9c9plyb81,nminhas,wsb-1dtmwzl2v,10.113.36.102,EC2AMAZ-L79NQD4,STOPPED,AUTO_STOP,60,us-east-1,2023-03-29 14:23:56.526000-04:00,0
ws-gc0j1w2k1,gscotland,wsb-6m4xgd4tz,10.135.68.112,VDICHWY-GUL07AU,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-12 15:32:13.965000-04:00,17
ws-48qs1767p,icheatum,wsb-6m4xgd4tz,10.135.73.134,VDICHWY-LT5SG5T,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 19:59:06.792000-04:00,0
ws-058fkdnbp,vprice,wsb-6m4xgd4tz,10.135.77.198,VDICHWY-7U7CTC9,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:26.901000-04:00,0
ws-3hsbdm6h5,brenn,wsb-1dtmwzl2v,10.113.40.211,EC2AMAZ-82JU9H8,STOPPED,AUTO_STOP,60,us-east-1,2023-03-13 19:28:41.770000-04:00,16
ws-69p4r9cz0,jbermudez3,wsb-6m4xgd4tz,10.135.79.7,VDICHWY-4KQ3SMS,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 22:39:35.257000-04:00,0
ws-6nv5hb3vn,mheavlow,wsb-6m4xgd4tz,10.135.74.24,VDICHWY-1UFML2A,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:10.444000-04:00,0
ws-1mc7hdxyq,asolis2,wsb-6m4xgd4tz,10.135.74.117,VDICHWY-F655HH4,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:08.721000-04:00,0
ws-d822t3fx9,ballen9,wsb-6m4xgd4tz,10.135.74.206,VDICHWY-9IEFIN3,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 08:29:28.996000-04:00,0
ws-4xxtfl80j,dkupper,wsb-1dtmwzl2v,10.113.36.14,EC2AMAZ-SFVBNA8,STOPPED,AUTO_STOP,60,us-east-1,2022-05-10 06:33:27.273000-04:00,324
ws-1911s1g7c,agardewine,wsb-6m4xgd4tz,10.135.74.190,VDICHWY-KO3R059,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-27 22:16:31.427000-04:00,2
ws-97s5tmh41,snelson3,wsb-7v01w2s1n,10.113.39.30,EC2AMAZ-K8JOF6H,STOPPED,AUTO_STOP,60,us-east-1,2023-01-22 00:40:54.231000-05:00,67
ws-014plrpvd,kcolemalag,wsb-6m4xgd4tz,10.135.72.92,VDICHWY-BQ6M0JV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:46.003000-04:00,0
ws-jfvq55bx2,bbrettnacher,wsb-1dtmwzl2v,10.113.47.150,EC2AMAZ-ODAEIRG,STOPPED,AUTO_STOP,60,us-east-1,2023-03-24 08:43:24.893000-04:00,6
ws-gdy0xx1pg,evales,wsb-6m4xgd4tz,10.135.73.135,VDICHWY-KT444PN,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 10:53:02.366000-04:00,0
ws-vfpcr3w1k,abalbuena,wsb-6m4xgd4tz,10.135.69.255,VDICHWY-35PQTUP,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:26.891000-04:00,0
ws-6ykhtjd02,nhanratty,wsb-6m4xgd4tz,10.135.74.5,VDICHWY-V7NFUSI,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:07:38.271000-04:00,0
ws-fbyqc9txd,iribot,wsb-6m4xgd4tz,10.135.71.211,VDICHWY-8CJLK7A,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-g6gh6trdj,sarmstron3,wsb-6m4xgd4tz,10.135.75.223,VDICHWY-6TEQO0C,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:04.302000-04:00,0
ws-wsv01bh2s,ssinha,wsb-1dtmwzl2v,10.113.37.151,EC2AMAZ-I73JGEU,STOPPED,AUTO_STOP,60,us-east-1,2023-03-29 06:27:34.931000-04:00,1
ws-0jxbbnyll,kschafrane,wsb-6m4xgd4tz,10.135.79.20,VDICHWY-5A0LR0Q,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-02-19 03:36:30.571000-05:00,39
ws-8k8k4n71r,bjones54,wsb-6m4xgd4tz,10.135.70.159,VDICHWY-N34HQBV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 23:27:22.751000-04:00,0
ws-dg49wn4cz,jlopez33,wsb-6m4xgd4tz,10.135.70.40,VDICHWY-MIBKROL,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 16:11:02.929000-04:00,0
ws-9dzvfpdzp,lmick,wsb-1dtmwzl2v,10.113.36.67,EC2AMAZ-JA63D43,STOPPED,AUTO_STOP,60,us-east-1,2022-09-23 16:09:53.622000-04:00,187
ws-h06stw6d8,hmarks,wsb-6m4xgd4tz,10.135.64.147,VDICHWY-6DB9BI0,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:07:50.220000-04:00,0
ws-4d7dy921b,dsthillair,wsb-6m4xgd4tz,10.135.78.7,VDICHWY-JUP4KJ4,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:23.111000-04:00,0
ws-126xtc0p5,lsullender,wsb-1dtmwzl2v,10.113.43.231,EC2AMAZ-LAH5DO4,STOPPED,AUTO_STOP,60,us-east-1,2023-03-29 20:06:35.502000-04:00,0
ws-wvgnkyb2b,kkimbler,wsb-6m4xgd4tz,10.135.79.163,VDICHWY-7AB4BPR,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:07:37.715000-04:00,0
ws-j1z0rbkwh,khamilton4,wsb-1dtmwzl2v,10.113.40.45,EC2AMAZ-PILFRPB,STOPPED,AUTO_STOP,60,us-east-1,2023-03-10 13:58:19.617000-05:00,19
ws-8lcmys27m,gmartinez1,wsb-6m4xgd4tz,10.135.65.125,VDICHWY-E8PSM28,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
