WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-8wttg6jkj,aalvarez1,wsb-7v01w2s1n,10.113.45.18,EC2AMAZ-7R1B37C,AVAILABLE,AUTO_STOP,60,us-east-1,0,2023-03-10 11:17:42.334000-05:00
ws-hq0xln8td,krowe3,wsb-6m4xgd4tz,10.135.79.84,VDICHWY-9GGVS2E,AVAILABLE,ALWAYS_ON,Null,us-east-1,1,2023-03-08 13:12:23.622000-05:00
ws-gdwnwvr4z,rd,wsb-83j5dqqlr,10.113.44.96,EC2AMAZ-1P05A4S,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 02:39:09.476000-05:00
ws-8b8y6cfbr,edimarco,wsb-6m4xgd4tz,10.135.69.19,VDICHWY-QICMFB9,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 02:41:34.467000-05:00
ws-7m73ck7vg,zjohnson5,wsb-6m4xgd4tz,10.135.64.162,VDICHWY-I9CU1ES,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 00:16:02.547000-05:00
ws-9c9plyb81,nminhas,wsb-1dtmwzl2v,10.113.36.102,EC2AMAZ-L79NQD4,AVAILABLE,AUTO_STOP,60,us-east-1,0,2023-03-10 12:33:55.807000-05:00
ws-gc0j1w2k1,gscotland,wsb-6m4xgd4tz,10.135.68.112,VDICHWY-GUL07AU,AVAILABLE,ALWAYS_ON,Null,us-east-1,4,2023-03-05 22:27:48.400000-05:00
ws-48qs1767p,icheatum,wsb-6m4xgd4tz,10.135.73.134,VDICHWY-LT5SG5T,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 12:38:37.851000-05:00
ws-058fkdnbp,vprice,wsb-6m4xgd4tz,10.135.77.198,VDICHWY-7U7CTC9,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 12:37:06.859000-05:00
ws-3hsbdm6h5,brenn,wsb-1dtmwzl2v,10.113.40.211,EC2AMAZ-82JU9H8,STOPPED,AUTO_STOP,60,us-east-1,0,2023-03-09 12:58:21.906000-05:00
ws-69p4r9cz0,jbermudez3,wsb-6m4xgd4tz,10.135.79.7,VDICHWY-4KQ3SMS,AVAILABLE,ALWAYS_ON,Null,us-east-1,1,2023-03-08 22:29:59.841000-05:00
ws-6nv5hb3vn,mheavlow,wsb-6m4xgd4tz,10.135.74.24,VDICHWY-1UFML2A,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-09 15:35:40.040000-05:00
ws-1mc7hdxyq,asolis2,wsb-6m4xgd4tz,10.135.74.117,VDICHWY-F655HH4,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-09 13:23:10.179000-05:00
ws-d822t3fx9,ballen9,wsb-6m4xgd4tz,10.135.74.206,VDICHWY-9IEFIN3,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-10 12:34:21.456000-05:00
ws-4xxtfl80j,dkupper,wsb-1dtmwzl2v,10.113.36.14,EC2AMAZ-SFVBNA8,STOPPED,AUTO_STOP,60,us-east-1,304,2022-05-10 06:33:27.273000-04:00
ws-1911s1g7c,agardewine,wsb-6m4xgd4tz,10.135.74.190,VDICHWY-KO3R059,AVAILABLE,ALWAYS_ON,Null,us-east-1,0,2023-03-09 20:51:09.302000-05:00
ws-97s5tmh41,snelson3,wsb-7v01w2s1n,10.113.39.30,EC2AMAZ-K8JOF6H,STOPPED,AUTO_STOP,60,us-east-1,47,2023-01-22 00:40:54.231000-05:00
